Participation ballot #,Start date,End date,Duration,Program,Gender,Question 1: Do you Want to be Matched with Second Year Peer Mentor? <br><br>If the answer is yes you are in the right place.  If the answer is no then you can just say no and close this survey.,Question 6.1 (Female): Gender,Question 6.2 (Male): Gender,Question 6.3 (Other): Gender,Question 7.1 (Yes): Are you an international student?,Question 7.2 (No): Are you an international student?,Question 7.3 (I prefer not to answer): Are you an international student?,Question 8: What high school did you attend?,Question 10.1 (English): What languages do you speak?,Question 10.2 (French): What languages do you speak?,Question 10.3 (Other please specify.): What languages do you speak?,Question 10.3 (Other please specify. - Text entered): What languages do you speak?,Question 11.1 (English): What language would you prefer to speak with your mentor?,Question 11.2 (French): What language would you prefer to speak with your mentor?,Question 11.3 (Other please specify.): What language would you prefer to speak with your mentor?,Question 11.3 (Other please specify. - Text entered): What language would you prefer to speak with your mentor?,Question 12: Would you prefer being matched with someone of the same gender?,Question 13: Are you involved in any extra-curricular activities (clubs sports and/or volunteering)?,Question 13 (Text entered): Are you involved in any extra-curricular activities (clubs sports and/or volunteering)?,Question 14: Do you hope to get involved in any extra-curricular activities (clubs sports volunteering or certificates?) this semester at the College?,Question 14 (Text entered): Do you hope to get involved in any extra-curricular activities (clubs sports volunteering or certificates?) this semester at the College?,Question 15: Do you have any other hobbies or interests you would like to share?,Question 15 (Text entered): Do you have any other hobbies or interests you would like to share?,,
146,"July 13th, 2023 18:41:52","July 13th, 2023 18:46:06",0:04:14,200.B2 Pure & Applied Science,F,1,1,0,0,0,1,0,'College Bourget,1,1,1,'Mandarin,0,0,1,'I don’t mind,1,2,,1,"'Ski club, art club and photographie club",2,,,
147,"July 13th, 2023 18:50:11","July 13th, 2023 18:50:51",0:00:40,700.B0 Histoire et civilisation,M,1,0,1,0,0,1,0,'Laurier Macdonald Highschool,1,1,0,,1,0,0,,2,2,,2,,1,"'Online networking, Videogames, Stock Trading.",,
148,"July 13th, 2023 19:12:22","July 13th, 2023 19:14:48",0:02:26,700.A0 Arts and Sciences,F,1,1,0,0,0,1,0,'École internationale de montréal,1,1,0,,1,0,0,,2,1,"'badminton, dance",1,'badminton,2,,,
149,"July 13th, 2023 19:52:07","July 13th, 2023 19:59:20",0:07:13,200.B1 Health Science,F,1,1,0,0,0,1,0,'The Study,1,1,1,"'Mandarin, Cantonese",1,0,0,,2,1,"'Volleyball, badminton, flag football, cross country running, Tyndale St-Georges volunteering, bio-STEM club",1,"'Badminton, MariMUN, Silver key",1,"'Reading, debating",,
150,"July 13th, 2023 20:09:28","July 13th, 2023 20:10:03",0:00:35,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
151,"July 13th, 2023 20:23:22","July 13th, 2023 20:26:32",0:03:10,700.A0 Arts and Sciences,F,1,1,0,0,0,1,0,'St George’s School of Montreal,1,1,0,,1,0,0,,1,2,,2,,2,,,
152,"July 13th, 2023 20:46:14","July 13th, 2023 20:50:37",0:04:23,200.B1 Health Science,F,1,1,0,0,0,1,0,'École internationale lucille Teasdale,1,1,1,'Korean,1,0,0,,2,1,'Volunteering,1,"'Sports, volunteering, certificates",1,'Music(cello),,
153,"July 13th, 2023 21:19:08","July 13th, 2023 21:24:48",0:05:40,200.B2 Pure & Applied Science,F,1,1,0,0,0,1,0,'Vincent Massey Collegiate,1,0,0,,1,0,0,,2,1,"'Basketball, Flagfootball, robotics",1,"'Basketball, Robotics, Neuro, UN model, and more",1,"'Basketball, Robotics, Movies?",,
154,"July 13th, 2023 21:38:53","July 13th, 2023 21:45:02",0:06:09,200.B1 Health Science,F,1,1,0,0,0,1,0,'Herzliah High School,1,1,0,,1,0,0,,1,2,,1,'I’m not so sure yet of what clubs Marionopolis provides!,1,"'Hiking, Yoga, I love music, and I also love Health and Wellness!",,
155,"July 13th, 2023 22:09:41","July 13th, 2023 22:11:01",0:01:20,200.HH Honours Health Science,M,1,0,1,0,0,1,0,'Collège Jean-de-Brébeuf,1,1,1,'Mandarin,1,0,0,,2,2,,1,'Dragon boat club,2,,,
156,"July 13th, 2023 22:24:33","July 13th, 2023 22:26:43",0:02:10,700.A0 Arts and Sciences,F,2,,,,,,,,,,,,,,,,,,,,,,,,
157,"July 13th, 2023 23:01:12","July 13th, 2023 23:03:36",0:02:24,700.A0 Arts and Sciences,M,1,0,1,0,0,1,0,'Collège Jean-de-Brébeuf,1,1,0,,1,1,0,,2,1,"'Basketball, volunteering",1,"'Basketball, volunteering, clubs",1,'Music and sports,,
158,"July 13th, 2023 23:24:31","July 13th, 2023 23:26:32",0:02:01,200.B1 Health Science,F,1,1,0,0,0,1,0,'Lucille-Teasdale,1,1,0,,0,1,0,,2,2,,1,'Volunteering,2,,,
159,"July 13th, 2023 23:30:17","July 13th, 2023 23:30:47",0:00:30,200.B2 Pure & Applied Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
160,"July 14th, 2023 00:40:53","July 14th, 2023 00:47:11",0:06:18,200.B2 Pure & Applied Science,M,1,0,1,0,0,0,1,'Juvénat Notre-Dame,1,1,1,'A tiny bit Mandarin and Cantonese,1,1,0,,2,1,'Badminton,1,"'Badminton, volley-ball or chess club",1,"'I love watching series of different kind. Wether it’s American, Korean or Japanese, if I hear good things about it, I’m opened to any genre",,
161,"July 26th, 2023 12:06:26","July 26th, 2023 12:08:03",0:01:37,300.L1 Social Sc. - LSJ,F,1,1,0,0,0,1,0,'Laval Senior Academy,1,1,1,'Greek,1,0,0,,2,1,'Ballet,1,'Law Clubs,2,,,
162,"July 26th, 2023 12:05:22","July 26th, 2023 12:08:03",0:02:41,200.HP Honours Pure & Applied Science,M,1,0,1,0,0,1,0,'Collège international Marie de France,1,1,0,,1,1,0,,1,1,"'Drawing, basketball, piano, chess",1,"'Debate, Programming, basketball",1,'Drawing basketball piano chess programming,,
163,"July 26th, 2023 12:41:10","July 26th, 2023 12:41:23",0:00:13,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
164,"July 26th, 2023 12:41:41","July 26th, 2023 12:43:13",0:01:32,300.L1 Social Sc. - LSJ,M,1,0,1,0,0,1,1,'Cavelier-de-lasalle,1,1,1,'Korean,0,1,0,,2,2,,2,,2,,,
165,"July 26th, 2023 12:56:13","July 26th, 2023 12:56:21",0:00:08,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
166,"July 26th, 2023 12:53:59","July 26th, 2023 12:56:22",0:02:23,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'Collège Sainte-Anne,1,1,1,'Mandarin,1,0,0,,2,2,,1,'clubs,1,'video games,,
167,"July 26th, 2023 12:57:41","July 26th, 2023 12:57:54",0:00:13,300.L1 Social Sc. - LSJ,F,2,,,,,,,,,,,,,,,,,,,,,,,,
168,"July 26th, 2023 12:57:01","July 26th, 2023 12:59:32",0:02:31,200.HH Honours Health Science,M,1,0,1,0,0,1,0,'Collège Charlemagne,1,1,1,'A bit of Mandarin,1,0,0,,2,1,'Hockey,1,'Don't know yet,2,,,
169,"July 26th, 2023 13:00:50","July 26th, 2023 13:01:07",0:00:17,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
170,"July 26th, 2023 12:51:46","July 26th, 2023 13:01:53",0:10:07,300.C1 Social Sc. - Core,F,1,1,0,0,0,1,0,'Villa Maria,1,1,0,,1,0,0,,1,2,,2,,2,,,
171,"July 26th, 2023 13:06:21","July 26th, 2023 13:09:35",0:03:14,200.B1 Health Science,F,1,1,0,0,0,1,0,'Saint-luc,1,1,1,'Mandarin,1,1,0,,2,1,"'Tennis, Violin, track, medical volunteering, research, STEM",1,"'Med life, dragon boat, photography, track team",2,,,
172,"July 26th, 2023 13:07:38","July 26th, 2023 13:10:49",0:03:11,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'Villa Maria,1,1,0,,1,0,0,,1,1,"'Kyokushin karate, volunteering at the MUHC",1,"'I would love to join an art club, as well as something involving community service work",1,'I love painting and running.,,
173,"July 26th, 2023 13:23:48","July 26th, 2023 13:24:05",0:00:17,700.B0 Histoire et civilisation,F,2,,,,,,,,,,,,,,,,,,,,,,,,
174,"July 26th, 2023 13:25:21","July 26th, 2023 13:25:38",0:00:17,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
175,"July 26th, 2023 13:37:44","July 26th, 2023 13:37:56",0:00:12,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
176,"July 26th, 2023 13:38:58","July 26th, 2023 13:39:15",0:00:17,300.HB Social Sc. - Human Behavior,F,2,,,,,,,,,,,,,,,,,,,,,,,,
177,"July 26th, 2023 14:02:04","July 26th, 2023 14:02:17",0:00:13,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
178,"July 26th, 2023 14:17:33","July 26th, 2023 14:19:03",0:01:30,200.HH Honours Health Science,M,1,0,1,0,0,1,0,'Blyth Academy,1,1,0,,1,1,0,,1,1,'Doctors Without Borders,1,'Doctors Without Borders,1,'Music,,
179,"July 26th, 2023 14:37:40","July 26th, 2023 14:40:43",0:03:03,300.L1 Social Sc. - LSJ,F,1,1,0,0,0,1,0,'Cavelier de lasalle,justice and society),1,0,0,,1,0,0,,1,2,,2,,1,"'Puzzles,",
180,"July 26th, 2023 14:59:13","July 26th, 2023 15:00:58",0:01:45,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'École Internationale Lucille-Teasdale,1,1,1,'Arabic,1,0,0,,1,2,,1,'Volunteering and clubs,2,,,
181,"July 26th, 2023 15:13:26","July 26th, 2023 15:15:23",0:01:57,300.CM Social Sc. - Commerce,M,1,0,1,0,0,1,0,'Selwyn House,1,1,0,,1,0,0,,2,2,,1,'N/A,2,,,
182,"July 26th, 2023 15:23:33","July 26th, 2023 15:23:38",0:00:05,300.CM Social Sc. - Commerce,F,2,,,,,,,,,,,,,,,,,,,,,,,,
183,"July 26th, 2023 15:47:51","July 26th, 2023 15:50:26",0:02:35,300.11 Music & Social Science,F,1,1,0,0,0,1,0,'West Island College,1,0,0,,1,0,0,,2,2,,2,,2,,,
184,"July 26th, 2023 16:04:49","July 26th, 2023 16:05:00",0:00:11,300.CM Social Sc. - Commerce,M,2,,,,,,,,,,,,,,,,,,,,,,,,
185,"July 26th, 2023 16:14:11","July 26th, 2023 16:15:56",0:01:45,200.B1 Health Science,F,1,1,0,0,0,1,0,'Mont-Royal,1,1,1,'Persian,1,1,0,,1,2,,1,'Clubs sports,1,'Basketball,,
186,"July 26th, 2023 16:10:13","July 26th, 2023 16:18:15",0:08:02,700.A0 Arts and Sciences,F,1,1,0,0,0,1,0,'Villa Sainte-Marcelline,1,1,0,,1,0,0,,2,2,,1,"'Silver Key (or other volunteering stuff), Hallyu Club or anything else related to music, Dance club if there is one",1,"'Dancing, karate, badminton, music (r&b, hiphop/rap, k-pop), drawing",,
187,"July 26th, 2023 16:20:56","July 26th, 2023 16:21:18",0:00:22,700.A0 Arts and Sciences,M,2,,,,,,,,,,,,,,,,,,,,,,,,
188,"July 26th, 2023 16:26:59","July 26th, 2023 16:27:12",0:00:13,200.B2 Pure & Applied Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
189,"July 26th, 2023 16:26:52","July 26th, 2023 16:29:23",0:02:31,200.B1 Health Science,F,1,1,0,0,0,1,0,'College Letendre,1,1,1,'Arabic,1,0,0,,1,1,'Volunteering,1,"'Clubs, volunteering and certificates",1,"'Baking, drawing and painting",,
190,"July 26th, 2023 16:29:16","July 26th, 2023 16:33:40",0:04:24,200.B1 Health Science,F,1,1,0,0,0,1,0,'Grande-Rivière,1,1,1,'Mandarin,1,1,0,,1,1,"'Judo, volunteering",1,"'Dragon boat, medical team, chinese montreal hospital club, book club, green team, volleyball team",1,"'Reading, volunteering",,
191,"July 26th, 2023 16:34:08","July 26th, 2023 16:35:36",0:01:28,700.A0 Arts and Sciences,F,1,1,0,0,0,1,0,'Western Canada High School,1,0,0,,1,0,0,,1,2,,1,"'mun, volunteering, anything",2,,,
192,"July 26th, 2023 16:35:46","July 26th, 2023 16:37:42",0:01:56,200.B1 Health Science,F,1,1,0,0,0,1,0,'Antoine-Brossard,1,1,0,,1,0,0,,2,2,,1,'volunteering,2,,,
193,"July 26th, 2023 17:02:30","July 26th, 2023 17:03:26",0:00:56,200.HP Honours Pure & Applied Science,M,1,0,1,0,0,1,0,'West Island College,1,1,0,,1,0,0,,2,1,"'Chess, Math, Coding",1,'Chess club & Math club,2,,,
194,"July 26th, 2023 17:09:46","July 26th, 2023 17:13:00",0:03:14,300.L1 Social Sc. - LSJ,F,1,1,0,0,0,1,0,'Lester B Pearson,1,1,1,'Italian,1,0,0,,1,1,'Soccer,1,'Sports,2,,,
195,"July 26th, 2023 17:28:30","July 26th, 2023 17:29:14",0:00:44,300.L2 Social Sc. - LSJ with Math,M,2,,,,,,,,,,,,,,,,,,,,,,,,
196,"July 26th, 2023 17:45:53","July 26th, 2023 17:47:59",0:02:06,200.B1 Health Science,F,1,1,0,0,0,1,0,'Collège Villa Maria,1,1,0,,1,1,0,,2,1,'Soccer,1,'Soccer/clubs,1,'Music,,
197,"July 26th, 2023 17:48:51","July 26th, 2023 17:49:25",0:00:34,300.CM Social Sc. - Commerce,F,2,,,,,,,,,,,,,,,,,,,,,,,,
198,"July 26th, 2023 18:02:29","July 26th, 2023 18:02:40",0:00:11,300.HB Social Sc. - Human Behavior,F,2,,,,,,,,,,,,,,,,,,,,,,,,
199,"July 26th, 2023 18:11:12","July 26th, 2023 18:13:19",0:02:07,200.B1 Health Science,F,1,1,0,0,0,1,0,'Herzliah High school,1,1,0,,1,0,0,,1,2,,1,'I’m not sure yet!,1,"'Cooking, hiking, health and wellness, fashion, outdoor walks",,
200,"July 26th, 2023 18:02:46","July 26th, 2023 18:13:19",0:10:33,300.L1 Social Sc. - LSJ,F,1,1,0,0,0,1,0,'Cavelier de LaSalle, society and Justice 300.L1),1,1,0,,1,0,0,,2,2,,2,,2,,
201,"July 26th, 2023 18:37:42","July 26th, 2023 18:38:07",0:00:25,700.B0 Histoire et civilisation,F,2,,,,,,,,,,,,,,,,,,,,,,,,
202,"July 26th, 2023 18:52:16","July 26th, 2023 18:58:11",0:05:55,200.B1 Health Science,M,1,0,1,0,0,1,0,'École Évangeline,1,1,1,'vietnamese,1,1,0,,2,2,,1,'I don't know the options yet,1,"'Video games, video editing, photography, anime, manga, Esports",,
203,"July 26th, 2023 19:22:08","July 26th, 2023 19:39:08",0:17:00,200.B1 Health Science,F,1,1,0,0,0,1,0,'Saint Paul's School of Ormoc (in the Philippines),1,1,0,,1,1,0,,2,2,,1,'badminton,2,,,
204,"July 26th, 2023 19:40:01","July 26th, 2023 19:45:21",0:05:20,200.B1 Health Science,M,1,0,1,0,0,1,0,'École Internationale de Montréal,1,1,0,,1,1,0,,2,1,'Tennis,1,'Can't specify yet,1,"'Artistic creation, physical activities",,
205,"July 26th, 2023 20:14:08","July 26th, 2023 20:14:19",0:00:11,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
206,"July 26th, 2023 20:19:14","July 26th, 2023 20:21:29",0:02:15,300.CM Social Sc. - Commerce,M,1,0,1,0,0,1,0,'Loyola High School,1,1,0,,1,0,0,,2,2,,1,'Sports but not until I get surgeon clearance from knee surgery,2,,,
207,"July 26th, 2023 20:20:18","July 26th, 2023 20:23:28",0:03:10,200.HP Honours Pure & Applied Science,M,1,0,1,0,0,1,0,'Collège Jean de la Mennais,1,1,0,,1,1,0,,2,1,'Fencing,1,"'Anime club, Video game club",1,'Fencing,,
208,"July 26th, 2023 20:23:33","July 26th, 2023 20:23:49",0:00:16,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
209,"July 26th, 2023 20:29:49","July 26th, 2023 20:30:17",0:00:28,200.HP Honours Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
210,"July 26th, 2023 20:33:58","July 26th, 2023 20:34:08",0:00:10,200.11 Music & Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
211,"July 26th, 2023 20:36:24","July 26th, 2023 20:36:52",0:00:28,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
212,"July 26th, 2023 20:45:09","July 26th, 2023 20:45:17",0:00:08,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
213,"July 26th, 2023 21:34:06","July 26th, 2023 21:36:38",0:02:32,300.C1 Social Sc. - Core,F,1,1,0,0,0,1,0,'Westmount Highschool,1,1,0,,1,1,0,,1,2,,1,'Fashion club,1,"'Fashion, business , real estate",,
214,"July 26th, 2023 22:01:59","July 26th, 2023 22:02:25",0:00:26,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
215,"July 26th, 2023 22:00:48","July 26th, 2023 22:04:37",0:03:49,200.B2 Pure & Applied Science,F,1,1,0,0,0,1,0,'Collège Sainte-Marcelline,1,0,0,,0,0,1,'chinese,2,2,,2,,2,,,
216,"August 9th, 2023 12:01:56","August 9th, 2023 12:06:18",0:04:22,200.B1 Health Science,F,1,1,0,0,0,1,0,'Collège Notre-Dame,1,1,1,'Mandarin,1,0,0,,1,2,,1,'Clubs and volunteering,2,,,
217,"August 9th, 2023 12:02:32","August 9th, 2023 12:13:36",0:11:04,200.B1 Health Science,F,1,1,0,0,0,1,0,'North Star Academy Laval,1,0,0,,1,0,0,,2,2,,1,"'MedLife Club, CODA club, MBN, Marianopolis First Aid Club, Marianopolis Pre-Med Club",1,'I enjoy reading and dancing various different forms of dances,,
218,"August 9th, 2023 14:03:25","August 9th, 2023 14:05:32",0:02:07,300.CM Social Sc. - Commerce,M,1,0,1,0,0,1,0,'Kuper Academy,1,0,1,'Russian,1,0,0,,2,1,"'Badminton, Fitness, Economics Research",1,'Anything to do with Economics or Business,1,"'Fitness, Badminton, Economics and Business, Film, Philosophy",,
219,"August 9th, 2023 17:26:47","August 9th, 2023 17:35:33",0:08:46,200.HP Honours Pure & Applied Science,M,1,0,1,0,0,1,0,'Collège Français de Longueuil,1,1,1,'Russian,1,0,0,,2,1,"'Kumon Math, Languages (Russian, Mandarin)",1,"'Clubs, Volunteering",1,"'Programming, Language Learning, Mathematics",,
220,"August 9th, 2023 19:10:24","August 9th, 2023 19:12:18",0:01:54,200.B1 Health Science,F,1,1,0,0,0,1,0,'GPIS,1,0,0,,1,0,0,,2,2,,1,'Volleyball,2,,,
221,"August 9th, 2023 19:35:19","August 9th, 2023 19:38:25",0:03:06,700.A0 Arts and Sciences,F,1,1,0,0,0,1,0,'École Secondaire Montessori Orford,1,1,0,,1,0,0,,2,2,,1,'I don’t know yet but I want to explore the clubs and volunteering opportunities,2,,,
222,"August 10th, 2023 10:30:04","August 10th, 2023 10:36:03",0:05:59,200.B1 Health Science,F,1,1,0,0,0,1,0,'École secondaire saint-luc,1,1,1,"'Mandarin, Cantonese",1,0,0,,1,1,"'First-Aid Club, Mood Booster Club",1,"'Silver Key Club, Marianopolis Dragonboat Club, etc.",2,,,
223,"August 10th, 2023 12:46:14","August 10th, 2023 12:49:26",0:03:12,200.B1 Health Science,M,1,0,1,0,0,1,0,'College Laval,1,1,0,,1,0,0,,2,2,,1,'Badminton,1,'music,,
224,"August 10th, 2023 16:14:04","August 10th, 2023 16:15:27",0:01:23,200.HH Honours Health Science,M,1,0,1,0,0,1,0,'Collège Jean-de-Brébeuf,1,1,1,'mandarin,1,1,0,,2,1,'I'm a French tutor,1,'Dragon boat,2,,,
225,"August 11th, 2023 08:55:54","August 11th, 2023 08:59:45",0:03:51,300.CM Social Sc. - Commerce,F,1,1,0,0,0,1,0,'École Internationale Lucille-Teasdale,1,1,1,'Mandarin,1,0,0,,2,1,"'Volunteering: kpop fanbase (Itzy and Aespa), Sports: kpop dancing and dragon boat,",1,'Hallyu,1,"'Baking, cooking, arts, dancing",,
226,"August 11th, 2023 09:10:26","August 11th, 2023 09:12:17",0:01:51,200.B1 Health Science,M,1,0,1,0,0,1,0,'College Jean-de-Brébeuf,1,1,1,'Mandarin,1,0,0,,2,2,,1,'Club or badminton or ultimate,1,'Hockey,,
227,"August 13th, 2023 22:05:25","August 13th, 2023 22:05:36",0:00:11,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
228,"August 13th, 2023 22:48:53","August 13th, 2023 22:52:16",0:03:23,300.CM Social Sc. - Commerce,M,1,0,1,0,0,1,0,'Laval Senior Academy,1,1,1,'Urdu,1,0,0,,2,2,,1,'Not sure which one,2,,,